No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,AQI_Level
1,2013,3,1,0,9,9,6,17,200,62,0.3,1021.9,-19,0,WNW,2,Wanshouxigong,01-03-2013 00:00,Good
1,2013,3,1,0,7,7,3,2,100,91,-2.3,1020.3,-20.7,0,WNW,3.1,Huairou,01-03-2013 00:00,Good
1,2013,3,1,0,3,6,13,7,300,85,-2.3,1020.8,-19.7,0,E,0.5,Changping,01-03-2013 00:00,Good
1,2013,3,1,0,6,6,4,8,300,81,-0.5,1024.5,-21.4,0,NNW,5.7,Tiantan,01-03-2013 00:00,Good
2,2013,3,1,1,4,4,3,8,100,92,-2.7,1020.8,-20.5,0,NNW,1.5,Huairou,01-03-2013 01:00,Good
2,2013,3,1,1,3,3,6,6,300,85,-2.5,1021.3,-19,0,ENE,0.7,Changping,01-03-2013 01:00,Good
2,2013,3,1,1,6,29,5,9,300,80,-0.7,1025.1,-22.1,0,NW,3.9,Tiantan,01-03-2013 01:00,Good
2,2013,3,1,1,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,WNW,4.4,Wanshouxigong,01-03-2013 01:00,Good
3,2013,3,1,2,8,8,7,16,200,59,-0.6,1022.6,-19.7,0,WNW,4.7,Wanshouxigong,01-03-2013 02:00,Good
3,2013,3,1,2,6,6,4,12,300,75,-1.2,1025.3,-24.6,0,NNW,5.3,Tiantan,01-03-2013 02:00,Good
3,2013,3,1,2,3,3,22,13,400,74,-3,1021.3,-19.9,0,ENE,0.2,Changping,01-03-2013 02:00,Good
3,2013,3,1,2,4,4,22,13,100,91,-3.2,1020.6,-21.4,0,NW,1.8,Huairou,01-03-2013 02:00,Good
4,2013,3,1,3,6,6,4,12,300,74,-1.4,1026.2,-25.5,0,N,4.9,Tiantan,01-03-2013 03:00,Good
4,2013,3,1,3,3,6,12,8,300,81,-3.6,1021.8,-19.1,0,NNE,1,Changping,01-03-2013 03:00,Good
4,2013,3,1,3,8,8,3,16,300,81,-0.7,1023.5,-20.9,0,NW,2.6,Wanshouxigong,01-03-2013 03:00,Good
4,2013,3,1,3,3,3,3,2,300,81,-3.3,1021.3,-23.7,0,NNW,2.4,Huairou,01-03-2013 03:00,Good
5,2013,3,1,4,5,5,7,15,400,70,-1.9,1027.1,-24.5,0,NNW,3.2,Tiantan,01-03-2013 04:00,Good
5,2013,3,1,4,8,8,3,15,300,36,-0.9,1024.1,-21.7,0,WNW,2.5,Wanshouxigong,01-03-2013 04:00,Good
5,2013,3,1,4,3,3,14,8,300,81,-3.5,1022.3,-19.4,0,N,2.1,Changping,01-03-2013 04:00,Good
5,2013,3,1,4,3,3,7,8,300,86,-4.1,1022.1,-22.7,0,NNW,2.2,Huairou,01-03-2013 04:00,Good
6,2013,3,1,5,4,4,3,3,200,85,-4.2,1022.3,-24.5,0,N,4.3,Huairou,01-03-2013 05:00,Good
6,2013,3,1,5,3,3,10,17,400,71,-4.5,1022.6,-19.5,0,NNW,1.7,Changping,01-03-2013 05:00,Good
6,2013,3,1,5,10,10,12,15,400,70,-2.4,1027.5,-21.3,0,NW,2.4,Tiantan,01-03-2013 05:00,Good
6,2013,3,1,5,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,NE,2,Wanshouxigong,01-03-2013 05:00,Good
7,2013,3,1,6,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,NE,2.3,Wanshouxigong,01-03-2013 06:00,Good
7,2013,3,1,6,3,6,33,7,300,82,-5.9,1023.1,-21.9,0,WNW,0.6,Huairou,01-03-2013 06:00,Good
7,2013,3,1,6,4,6,12,22,500,65,-4.5,1023.4,-19.5,0,NNW,1.8,Changping,01-03-2013 06:00,Good
7,2013,3,1,6,8,19,12,14,400,72,-2.5,1028.2,-20.4,0,NW,2.2,Tiantan,01-03-2013 06:00,Good
8,2013,3,1,7,3,10,13,13,400,71,-2.7,1024.3,-23.2,0,NNE,3.4,Huairou,01-03-2013 07:00,Good
8,2013,3,1,7,3,6,25,39,600,48,-2.1,1024.6,-20,0,NW,2.5,Changping,01-03-2013 07:00,Good
8,2013,3,1,7,7,7,12,19,400,67,-1.4,1029.5,-20.4,0,NNW,3,Tiantan,01-03-2013 07:00,Good
8,2013,3,1,7,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,NNE,2,Wanshouxigong,01-03-2013 07:00,Good
9,2013,3,1,8,3,6,9,23,300,50,0.4,1027.3,-19.4,0,NE,2.7,Wanshouxigong,01-03-2013 08:00,Good
9,2013,3,1,8,9,25,13,42,700,46,-0.2,1025.2,-20.5,0,NNW,2.8,Changping,01-03-2013 08:00,Good
9,2013,3,1,8,3,6,14,29,500,56,-0.3,1030.4,-21.2,0,NW,4.6,Tiantan,01-03-2013 08:00,Good
9,2013,3,1,8,3,13,34,38,800,45,-1.6,1025.2,-23.5,0,NNE,4.6,Huairou,01-03-2013 08:00,Good
10,2013,3,1,9,11,29,5,18,500,73,0.6,1025.3,-20.4,0,NNW,3.8,Changping,01-03-2013 09:00,Good
10,2013,3,1,9,3,6,10,18,300,56,1.5,1027.4,-19.7,0,ENE,2.9,Wanshouxigong,01-03-2013 09:00,Good
10,2013,3,1,9,17,36,50,28,700,60,-1.1,1025.4,-23.8,0,NE,4.9,Huairou,01-03-2013 09:00,Good
10,2013,3,1,9,8,2,11,22,500,65,0.4,1030.5,-23.3,0,N,5.5,Tiantan,01-03-2013 09:00,Good
